timestamp,round,order_index,N,block_size,grid_size,warps_per_block,active_blocks_per_sm,theoretical_occupancy_pct,warmup,repetitions,avg_kernel_latency_ms,effective_bandwidth_GBps,correctness,max_abs_error
2026-08-27T07:54:39Z,1,1,16777216,32,524288,1,16,33.33,20,200,6.776365,29.710,PASS,0.000000000e+00
2026-08-27T07:54:40Z,1,2,16777216,64,262144,2,16,66.67,20,200,2.735674,73.593,PASS,0.000000000e+00
2026-08-27T07:54:41Z,1,3,16777216,128,131072,4,12,100.00,20,200,2.206342,91.249,PASS,0.000000000e+00
2026-08-27T07:54:41Z,1,4,16777216,256,65536,8,6,100.00,20,200,2.261157,89.037,PASS,0.000000000e+00
2026-08-27T07:54:42Z,1,5,16777216,512,32768,16,3,100.00,20,200,2.335396,86.207,PASS,0.000000000e+00
2026-08-27T07:54:43Z,1,6,16777216,1024,16384,32,1,66.67,20,200,3.329194,60.473,PASS,0.000000000e+00
2026-08-27T07:54:43Z,2,1,16777216,128,131072,4,12,100.00,20,200,2.204635,91.320,PASS,0.000000000e+00
2026-08-27T07:54:44Z,2,2,16777216,256,65536,8,6,100.00,20,200,2.261023,89.042,PASS,0.000000000e+00
2026-08-27T07:54:45Z,2,3,16777216,512,32768,16,3,100.00,20,200,2.335803,86.192,PASS,0.000000000e+00
2026-08-27T07:54:46Z,2,4,16777216,1024,16384,32,1,66.67,20,200,3.328536,60.485,PASS,0.000000000e+00
2026-08-27T07:54:47Z,2,5,16777216,32,524288,1,16,33.33,20,200,6.676263,30.156,PASS,0.000000000e+00
2026-08-27T07:54:48Z,2,6,16777216,64,262144,2,16,66.67,20,200,2.726130,73.851,PASS,0.000000000e+00
2026-08-27T07:54:49Z,3,1,16777216,512,32768,16,3,100.00,20,200,2.335330,86.209,PASS,0.000000000e+00
2026-08-27T07:54:50Z,3,2,16777216,1024,16384,32,1,66.67,20,200,3.328670,60.483,PASS,0.000000000e+00
2026-08-27T07:54:51Z,3,3,16777216,32,524288,1,16,33.33,20,200,6.675447,30.159,PASS,0.000000000e+00
2026-08-27T07:54:52Z,3,4,16777216,64,262144,2,16,66.67,20,200,2.725990,73.854,PASS,0.000000000e+00
2026-08-27T07:54:53Z,3,5,16777216,128,131072,4,12,100.00,20,200,2.204237,91.336,PASS,0.000000000e+00
2026-08-27T07:54:53Z,3,6,16777216,256,65536,8,6,100.00,20,200,2.259078,89.119,PASS,0.000000000e+00
2026-08-27T07:54:54Z,4,1,16777216,256,65536,8,6,100.00,20,200,2.253057,89.357,PASS,0.000000000e+00
2026-08-27T07:54:55Z,4,2,16777216,128,131072,4,12,100.00,20,200,2.209717,91.110,PASS,0.000000000e+00
2026-08-27T07:54:56Z,4,3,16777216,64,262144,2,16,66.67,20,200,2.723132,73.932,PASS,0.000000000e+00
2026-08-27T07:54:57Z,4,4,16777216,32,524288,1,16,33.33,20,200,6.682917,30.126,PASS,0.000000000e+00
2026-08-27T07:54:58Z,4,5,16777216,1024,16384,32,1,66.67,20,200,3.335257,60.363,PASS,0.000000000e+00
2026-08-27T07:54:59Z,4,6,16777216,512,32768,16,3,100.00,20,200,2.339390,86.059,PASS,0.000000000e+00
2026-08-27T07:55:00Z,5,1,16777216,1024,16384,32,1,66.67,20,200,3.338169,60.310,PASS,0.000000000e+00
2026-08-27T07:55:00Z,5,2,16777216,512,32768,16,3,100.00,20,200,2.339506,86.055,PASS,0.000000000e+00
2026-08-27T07:55:01Z,5,3,16777216,256,65536,8,6,100.00,20,200,2.253746,89.330,PASS,0.000000000e+00
2026-08-27T07:55:02Z,5,4,16777216,128,131072,4,12,100.00,20,200,2.210511,91.077,PASS,0.000000000e+00
2026-08-27T07:55:03Z,5,5,16777216,64,262144,2,16,66.67,20,200,2.723292,73.928,PASS,0.000000000e+00
2026-08-27T07:55:04Z,5,6,16777216,32,524288,1,16,33.33,20,200,6.683547,30.123,PASS,0.000000000e+00
