experiment_id,name,phase,status,platform,branch,commit,baseline,result,gate,report,date
Exp01,CUDA Vector Add,Phase 0,PASS,Jetson Orin Nano Super,exp/01-vector-add,HEAD,FP32 one-element-per-thread CUDA kernel,"Original 77/77 correctness PASS; Exp01.1 stability 30/30 PASS; block 128 fastest 5/5 at 2.207088 ms mean; Exp01.2 profiled blocks 32/128/256/1024; H1-H4 supported; 128 vs 256 cause remains inconclusive",PASS,experiments/Exp01-vector-add/README.md,2026-08-30
Exp02,CUDA Reduction,Phase 0,PASS,Jetson Orin Nano Super,exp/02-reduction,final,FP32 V1-V7 reduction kernels,"Gate A/B/C PASS; V5/B128 fastest at 1.626439 ms; V3/V4 bank-conflict evidence; V7 faster than V6; H2/H5 partial; H9 inconclusive",PASS,experiments/Exp02-reduction/README.md,2026-08-31
Exp03,CUDA Matrix Transpose,Phase 0,PASS,Jetson Orin Nano Super,exp/03-matrix-transpose,HEAD,FP32 row-major matrix transpose V0-V4,"Gate A/B/C PASS; H1-H4 supported by Formal Benchmark V2 and NCU; Overall PASS/CLOSED; Exp04 not started",PASS,experiments/Exp03-matrix-transpose/README.md,2026-08-31
Exp04,CUDA GEMM tiling and WMMA,Phase 0,PASS,Jetson Orin Nano Super,exp/04-gemm,HEAD,FP32 V1/V2-T16 and FP16xFP16-FP32acc V3 WMMA,"A1/A2/A3/B/C PASS; dual-reference WMMA evidence measures end-to-end mixed-precision impact including FP16 input quantization; NCU/HMMA evidence present",PASS,experiments/Exp04-gemm/README.md,2026-08-31
Phase1.0,Qwen3 Baseline Runtime Feasibility Audit,Phase 1,PASS WITH CONSTRAINTS,Jetson Orin Nano Super,phase/01-qwen3-baseline,HEAD,Read-only Qwen3-0.6B runtime compatibility audit,"HF PyTorch BF16 recommended for Phase 1.1; latest TRT-LLM lacks official SM87/current-stack intersection; v0.12.0-jetson lacks Qwen3",PASS WITH CONSTRAINTS,experiments/Phase1-qwen3-baseline/README.md,2026-09-01
Phase1.1,Qwen3-0.6B HF BF16 Reference,Phase 1,PASS,Jetson Orin Nano Super,phase/01-qwen3-baseline,HEAD,Qwen3-0.6B exact-revision BF16 eager-attention reference,"Gate A/B/C/D PASS; cuda:0-only placement; finite forward; 3/3 bounded generations pass; no OOM/offload",PASS,experiments/Phase1-qwen3-baseline/docs/phase1_1_hf_bf16_reference.md,2026-09-01
Phase1.2,Qwen3-0.6B BF16 Formal LLM Benchmark,Phase 1,PASS,Jetson Orin Nano Super,phase/01-qwen3-baseline,HEAD,Qwen3-0.6B exact-revision BF16 eager batch-1 synthetic exact-shape baseline,"Gate A/B/C/D PASS; ISL 32/128/512/1024 stable; prefill and TTFT scale more strongly than TPOT; VDD_IN is board-level",PASS,experiments/Phase1-qwen3-baseline/docs/phase1_2_formal_benchmark.md,2026-09-01
Phase2.0,Qwen3 quantization backend feasibility audit,Phase 2,RUNNING,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,TorchAO 0.12.0 isolated compatibility and synthetic Linear probe,"Gate A PASS; Gate B/C BLOCKED by TorchAO import ABI; Gate D INCONCLUSIVE; no full model quantization",INCONCLUSIVE,experiments/Phase2-qwen3-quantization/docs/phase2_0_quantization_backend_audit.md,2026-09-01
Phase2.1,TensorRT INT8 / INT4 capability audit,Phase 2,INCONCLUSIVE,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,Synthetic TensorRT direct-network Linear capability probe,"FP16 direct path PASS; explicit Q/DQ INT8 PARTIALLY SUPPORTED; ONNX parser blocked by missing package; INT4 weight-only path PARTIALLY SUPPORTED/BLOCKED; no Qwen3 or performance claim",INCONCLUSIVE,experiments/Phase2-qwen3-quantization/docs/phase2_1_tensorrt_capability_audit.md,2026-09-01
Phase2.1.5,TensorRT synthetic graph pipeline enablement,Phase 2,PASS,Jetson Orin Nano Super,phase/02-qwen3-quantization,HEAD,PyTorch to ONNX to TensorRT parser/build to CUDA execution,"3/3 synthetic FP16 opset-17 exports/checks PASS; 6/6 M=1/32 TensorRT parser/build/CUDA execution PASS with finite correctly typed outputs; no Qwen3 or performance claim",PASS,experiments/Phase2-qwen3-quantization/docs/phase2_1_5_graph_enablement.md,2026-09-01
